[2025-02-10 15:04:13.067] [info]  DiscordSplash.signalReady
[2025-02-10 15:04:13.176] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-02-10 15:04:13.177] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-02-10 15:04:13.179] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-02-10 15:04:13.180] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-02-10 15:04:13.181] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-02-10 15:04:13.181] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-02-10 15:04:13.182] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-02-10 15:04:13.182] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-02-10 15:04:13.182] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-02-10 15:04:13.183] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-02-10 15:04:13.183] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-02-10 15:04:13.184] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-02-10 15:04:13.184] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-02-10 15:04:13.184] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-02-10 15:04:13.466] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-02-10 15:04:13.467] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-02-10 15:04:13.975] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-02-10 15:04:13.976] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-02-10 15:04:14.001] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-02-10 15:04:14.001] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
